name,province,url,gender,ethnic,dob_y,age,join_work_y,pob_p,join_party_y,edu_dg
姜勇,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18645.htm,男,汉族,1956.0,62.0,1973.0,辽宁,1978.0,研究生
张建东,北京,http://ldzl.people.com.cn/dfzlk/front/personPage8298.htm,男,汉族,1962.0,56.0,1983.0,河北,1982.0,博士
隋振江,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4023.htm,男,汉族,1963.0,55.0,1985.0,辽宁,1984.0,研究生
王宁,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4019.htm,男,汉族,1960.0,58.0,1983.0,山西,1987.0,研究生
殷勇,北京,http://ldzl.people.com.cn/dfzlk/front/personPage13886.htm,男,汉族,1969.0,49.0,1997.0,湖北,1994.0,博士
卢彦,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16627.htm,男,汉族,1963.0,55.0,1984.0,江苏,1994.0,博士
杨斌,北京,http://ldzl.people.com.cn/dfzlk/front/personPage11002.htm,男,汉族,1961.0,57.0,1983.0,山东,1985.0,博士
王红,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18695.htm,女,满族,1962.0,56.0,1986.0,辽宁,,研究生
张家明,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4018.htm,男,汉族,1963.0,55.0,1990.0,安徽,1985.0,研究生
卢映川,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4036.htm,男,汉族,1968.0,50.0,1990.0,安徽,1986.0,博士
王灏,北京,http://ldzl.people.com.cn/dfzlk/front/personPage15367.htm,男,汉族,1967.0,51.0,1990.0,辽宁,1987.0,博士
于军,北京,http://ldzl.people.com.cn/dfzlk/front/personPage12760.htm,男,汉族,1964.0,54.0,1987.0,山东,1985.0,博士
汪先永,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4993.htm,男,汉族,1967.0,51.0,1989.0,安徽,1988.0,博士
于长辉,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18803.htm,男,汉族,1962.0,56.0,1985.0,辽宁,1991.0,研究生
张力兵,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16166.htm,男,汉族,1963.0,55.0,1985.0,北京,1993.0,本科
陈清,北京,http://ldzl.people.com.cn/dfzlk/front/personPage15592.htm,男,汉族,1966.0,52.0,1983.0,吉林,1992.0,研究生
曾赞荣,北京,http://ldzl.people.com.cn/dfzlk/front/personPage11006.htm,男,汉族,1969.0,49.0,1992.0,湖南,1987.0,研究生
高朋,北京,http://ldzl.people.com.cn/dfzlk/front/personPage15395.htm,男,汉族,1972.0,46.0,1996.0,辽宁,1996.0,博士
侯君舒,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4037.htm,男,汉族,1963.0,55.0,1985.0,河南,1985.0,研究生
周立云,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16808.htm,男,汉族,1963.0,55.0,1984.0,湖南,1984.0,博士
常卫,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4042.htm,男,汉族,1966.0,52.0,1991.0,河南,1985.0,博士
王成国,北京,http://ldzl.people.com.cn/dfzlk/front/personPage15105.htm,男,汉族,1966.0,52.0,1989.0,山东,1987.0,博士
夏林茂,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4028.htm,男,汉族,1970.0,48.0,1993.0,江苏,,博士
李志军,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4047.htm,男,汉族,1969.0,49.0,1991.0,河南,2001.0,博士
金晖,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18813.htm,女,汉族,1969.0,49.0,1992.0,浙江,1991.0,博士
王少峰,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4020.htm,男,汉族,1970.0,48.0,1993.0,山东,1990.0,研究生
文献,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16780.htm,男,汉族,1969.0,49.0,1993.0,江西,1998.0,博士
戴彬彬,北京,http://ldzl.people.com.cn/dfzlk/front/personPage17171.htm,男,汉族,1968.0,50.0,1990.0,江苏,1988.0,研究生
王力军,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18808.htm,男,汉族,1968.0,50.0,,河北,,博士
陈之常,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18843.htm,男,汉族,1974.0,44.0,1996.0,四川,1996.0,本科
付兆庚,北京,http://ldzl.people.com.cn/dfzlk/front/personPage15594.htm,男,汉族,1964.0,54.0,1983.0,北京,1986.0,研究生
郭延红,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18649.htm,女,汉族,1967.0,51.0,1989.0,山东,1987.0,研究生
赵磊,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18814.htm,男,汉族,1972.0,46.0,1995.0,河南,1994.0,博士
孙军民,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18812.htm,女,汉族,1970.0,48.0,1992.0,北京,1992.0,研究生
王合生,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18815.htm,男,汉族,1969.0,49.0,1993.0,山东,1988.0,博士
王有国,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18588.htm,男,汉族,1967.0,51.0,1990.0,湖北,1989.0,博士
卢宇国,北京,http://ldzl.people.com.cn/dfzlk/front/personPage17239.htm,男,汉族,1970.0,48.0,1992.0,河南,1998.0,研究生
汪明浩,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16024.htm,男,满族,1967.0,51.0,1990.0,辽宁,1986.0,研究生
潘临珠,北京,http://ldzl.people.com.cn/dfzlk/front/personPage15282.htm,男,汉族,1962.0,56.0,1983.0,山西,1983.0,博士
穆鹏,北京,http://ldzl.people.com.cn/dfzlk/front/personPage15410.htm,男,汉族,1966.0,52.0,1988.0,陕西,1986.0,研究生
李鸿忠,天津,http://ldzl.people.com.cn/dfzlk/front/personPage4929.htm,男,汉族,1956.0,62.0,1975.0,山东,1976.0,本科
段春华,天津,http://ldzl.people.com.cn/dfzlk/front/personPage5407.htm,男,汉族,1959.0,59.0,1980.0,河北,1983.0,博士
张国清,天津,http://ldzl.people.com.cn/dfzlk/front/personPage6391.htm,男,汉族,1964.0,54.0,1985.0,河南,1984.0,博士
盛茂林,天津,http://ldzl.people.com.cn/dfzlk/front/personPage5462.htm,男,汉族,1960.0,58.0,1975.0,湖北,1981.0,本科
张玉卓,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16595.htm,男,汉族,1962.0,56.0,1985.0,山东,1985.0,博士
喻云林,天津,http://ldzl.people.com.cn/dfzlk/front/personPage12738.htm,男,汉族,1962.0,56.0,1982.0,湖南,1987.0,研究生
邓修明,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16260.htm,男,汉族,1964.0,54.0,1981.0,四川,1992.0,博士
赵飞,天津,http://ldzl.people.com.cn/dfzlk/front/personPage15562.htm,男,汉族,1964.0,54.0,1984.0,湖北,1986.0,研究生
陈浙闽,天津,http://ldzl.people.com.cn/dfzlk/front/personPage12146.htm,男,汉族,1961.0,57.0,1977.0,浙江,1982.0,研究生
冀国强,天津,http://ldzl.people.com.cn/dfzlk/front/personPage4075.htm,男,汉族,1965.0,53.0,1988.0,河南,1987.0,研究生
李毅,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16774.htm,男,汉族,1963.0,55.0,1984.0,天津,1984.0,博士
曹小红,天津,http://ldzl.people.com.cn/dfzlk/front/personPage5414.htm,女,回族,1961.0,57.0,1983.0,吉林,,博士
孙文魁,天津,http://ldzl.people.com.cn/dfzlk/front/personPage5424.htm,男,汉族,1962.0,56.0,1985.0,天津,1983.0,研究生
赵海山,天津,http://ldzl.people.com.cn/dfzlk/front/personPage15362.htm,男,汉族,1962.0,56.0,1984.0,河北,1983.0,博士
李树起,天津,http://ldzl.people.com.cn/dfzlk/front/personPage4077.htm,男,汉族,1962.0,56.0,1980.0,天津,1983.0,研究生
康义,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18675.htm,男,汉族,1966.0,52.0,1988.0,湖南,1986.0,本科
金湘军,天津,http://ldzl.people.com.cn/dfzlk/front/personPage4564.htm,男,汉族,1964.0,54.0,1990.0,湖南,1984.0,博士
董家禄,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18696.htm,男,汉族,1966.0,52.0,1987.0,云南,1989.0,研究生
姚来英,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16279.htm,男,汉族,1966.0,52.0,1989.0,河北,1987.0,研究生
陈绍旺,天津,http://ldzl.people.com.cn/dfzlk/front/personPage15405.htm,男,,1971.0,47.0,1994.0,天津,1992.0,博士
李建成,天津,http://ldzl.people.com.cn/dfzlk/front/personPage15451.htm,男,汉族,1967.0,51.0,1988.0,天津,1993.0,研究生
李学义,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16381.htm,男,汉族,1964.0,54.0,1981.0,天津,1990.0,研究生
杨兵,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18826.htm,男,汉族,1967.0,51.0,1989.0,湖北,1995.0,本科
刘志强,天津,http://ldzl.people.com.cn/dfzlk/front/personPage5018.htm,男,汉族,1971.0,47.0,1992.0,河北,1991.0,研究生
李清,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18827.htm,男,汉族,1965.0,53.0,1986.0,天津,1992.0,研究生
夏新,天津,http://ldzl.people.com.cn/dfzlk/front/personPage15576.htm,男,,1963.0,55.0,1983.0,河南,1986.0,研究生
李清,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16282.htm,女,汉族,1965.0,53.0,1982.0,河北,1990.0,研究生
刘惠,天津,http://ldzl.people.com.cn/dfzlk/front/personPage15596.htm,女,汉族,1968.0,50.0,1990.0,河北,1995.0,研究生
冯卫华,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16392.htm,男,汉族,1965.0,53.0,1987.0,天津,1985.0,本科
徐大彤,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18832.htm,男,汉族,1970.0,48.0,1992.0,天津,1991.0,研究生
殷向杰,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18576.htm,男,汉族,1965.0,53.0,,湖北,,博士
王洪海,天津,http://ldzl.people.com.cn/dfzlk/front/personPage12075.htm,男,汉族,1964.0,54.0,1983.0,天津,1991.0,研究生
蔺雪峰,天津,http://ldzl.people.com.cn/dfzlk/front/personPage12106.htm,男,汉族,1966.0,52.0,1987.0,河北,2000.0,博士
于立军,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16280.htm,男,汉族,1967.0,51.0,,辽宁,,研究生
陈春江,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16642.htm,男,蒙古族,1971.0,47.0,1998.0,内蒙,1995.0,博士
田金萍,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16755.htm,女,汉族,1964.0,54.0,1982.0,河北,1994.0,研究生
姜德志,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18837.htm,男,汉族,1964.0,54.0,1986.0,天津,1985.0,博士
孙剑楠,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16647.htm,男,汉族,1968.0,50.0,1991.0,江西,1994.0,研究生
李新,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16652.htm,男,汉族,1971.0,47.0,1994.0,天津,1993.0,研究生
袁家健,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18585.htm,男,汉族,1971.0,47.0,1994.0,安徽,1994.0,研究生
孔德昌,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16329.htm,男,汉族,1970.0,48.0,1994.0,山东,1993.0,博士
白凤祥,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18834.htm,男,汉族,1972.0,46.0,1995.0,天津,1993.0,研究生
贺亦农,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18830.htm,男,汉族,1965.0,53.0,1986.0,天津,1988.0,研究生
王宝雨,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18835.htm,男,汉族,1970.0,48.0,1990.0,天津,1994.0,研究生
戴东强,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16746.htm,男,汉族,1966.0,52.0,1989.0,山东,1997.0,博士
毛劲松,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16639.htm,男,汉族,1969.0,49.0,1990.0,辽宁,1990.0,博士
杨茂荣,天津,http://ldzl.people.com.cn/dfzlk/front/personPage12145.htm,男,汉族,1962.0,56.0,1982.0,天津,1986.0,研究生
张伟,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18831.htm,男,汉族,1967.0,51.0,1989.0,天津,1989.0,研究生
张庆恩,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18474.htm,男,汉族,1963.0,55.0,1983.0,天津,1985.0,研究生
廉桂峰,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16638.htm,男,汉族,1964.0,54.0,1983.0,天津,1988.0,研究生
王东峰,河北,http://ldzl.people.com.cn/dfzlk/front/personPage5388.htm,男,汉族,1958.0,60.0,1981.0,陕西,1980.0,研究生
许勤,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4509.htm,男,汉族,1961.0,57.0,1982.0,江苏,1982.0,博士
叶冬松,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4928.htm,男,汉族,1958.0,60.0,1977.0,安徽,1981.0,研究生
赵一德,河北,http://ldzl.people.com.cn/dfzlk/front/personPage6027.htm,男,汉族,1965.0,53.0,1983.0,浙江,1985.0,研究生
梁田庚,河北,http://ldzl.people.com.cn/dfzlk/front/personPage6458.htm,男,汉族,1960.0,58.0,1976.0,广东,1983.0,博士
袁桐利,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4079.htm,男,汉族,1961.0,57.0,1980.0,天津,1985.0,研究生
陈刚,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4700.htm,男,汉族,1965.0,53.0,1990.0,江苏,1986.0,博士
梁惠玲,河北,http://ldzl.people.com.cn/dfzlk/front/personPage6256.htm,女,汉族,1962.0,56.0,1983.0,湖北,1985.0,研究生
焦彦龙,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4097.htm,男,汉族,1960.0,58.0,1982.0,河北,1986.0,研究生
董仚生,河北,http://ldzl.people.com.cn/dfzlk/front/personPage11019.htm,男,汉族,1962.0,56.0,1984.0,江西,1984.0,研究生
邢国辉,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4093.htm,男,汉族,1961.0,57.0,1976.0,河北,1984.0,研究生
高志立,河北,http://ldzl.people.com.cn/dfzlk/front/personPage16242.htm,男,汉族,1962.0,56.0,1984.0,河北,1990.0,研究生
王浩,河北,http://ldzl.people.com.cn/dfzlk/front/personPage12193.htm,男,汉族,1963.0,55.0,1982.0,山东,1984.0,本科
韩晓东,河北,http://ldzl.people.com.cn/dfzlk/front/personPage18621.htm,男,汉族,1965.0,53.0,,,1990.0,本科
张古江,河北,http://ldzl.people.com.cn/dfzlk/front/personPage5978.htm,男,汉族,1963.0,55.0,1982.0,天津,1984.0,研究生
徐建培,河北,http://ldzl.people.com.cn/dfzlk/front/personPage16606.htm,男,汉族,1960.0,58.0,1977.0,江苏,1981.0,博士
李谦,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4101.htm,男,汉族,1960.0,58.0,1976.0,河北,1983.0,研究生
刘凯,河北,http://ldzl.people.com.cn/dfzlk/front/personPage18697.htm,男,汉族,1969.0,49.0,1991.0,安徽,1994.0,本科
夏延军,河北,http://ldzl.people.com.cn/dfzlk/front/personPage18698.htm,女,汉族,1963.0,55.0,1982.0,河北,1987.0,研究生
时清霜,河北,http://ldzl.people.com.cn/dfzlk/front/personPage18699.htm,男,汉族,1965.0,53.0,1987.0,河北,,研究生
孟祥伟,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4090.htm,男,汉族,1966.0,52.0,1989.0,河北,1990.0,博士
高宏志,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4087.htm,男,汉族,1967.0,51.0,1986.0,河北,1990.0,研究生
王会勇,河北,http://ldzl.people.com.cn/dfzlk/front/personPage11003.htm,男,汉族,1960.0,58.0,1976.0,河北,1983.0,研究生
聂瑞平,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4091.htm,男,汉族,1959.0,59.0,1977.0,河北,1983.0,研究生
回建,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4088.htm,男,回族,1961.0,57.0,1981.0,河北,1982.0,博士
周仲明,河北,http://ldzl.people.com.cn/dfzlk/front/personPage12234.htm,男,汉族,1963.0,55.0,1984.0,河北,1984.0,研究生
杨慧,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4102.htm,男,汉族,1965.0,53.0,1989.0,河北,1985.0,博士
冯韶慧,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4100.htm,男,汉族,1965.0,53.0,1985.0,河北,1984.0,研究生
王景武,河北,http://ldzl.people.com.cn/dfzlk/front/personPage16498.htm,男,汉族,1963.0,55.0,1986.0,河北,1985.0,研究生
邓沛然,河北,http://ldzl.people.com.cn/dfzlk/front/personPage16371.htm,男,汉族,1963.0,55.0,1980.0,河北,1984.0,博士
丁绣峰,河北,http://ldzl.people.com.cn/dfzlk/front/personPage14476.htm,男,汉族,1965.0,53.0,1981.0,河北,1984.0,研究生
张瑞书,河北,http://ldzl.people.com.cn/dfzlk/front/personPage11004.htm,男,汉族,1963.0,55.0,1983.0,河北,1987.0,本科
王立彤,河北,http://ldzl.people.com.cn/dfzlk/front/personPage15857.htm,男,汉族,1968.0,50.0,1990.0,安徽,1991.0,研究生
董晓宇,河北,http://ldzl.people.com.cn/dfzlk/front/personPage15229.htm,男,汉族,1969.0,49.0,1987.0,河北,1992.0,研究生
郭建英,河北,http://ldzl.people.com.cn/dfzlk/front/personPage16199.htm,男,汉族,1962.0,56.0,1983.0,河北,1983.0,研究生
武卫东,河北,http://ldzl.people.com.cn/dfzlk/front/personPage16201.htm,男,汉族,1969.0,49.0,1989.0,河北,1991.0,研究生
常丽虹,河北,http://ldzl.people.com.cn/dfzlk/front/personPage15381.htm,女,汉族,1962.0,56.0,1984.0,河北,1986.0,研究生
梅世彤,河北,http://ldzl.people.com.cn/dfzlk/front/personPage8158.htm,男,汉族,1969.0,49.0,1992.0,河北,1990.0,研究生
陈平,河北,http://ldzl.people.com.cn/dfzlk/front/personPage15863.htm,男,汉族,1965.0,53.0,1988.0,河北,1986.0,研究生
吕志成,河北,http://ldzl.people.com.cn/dfzlk/front/personPage8366.htm,男,汉族,1966.0,52.0,1990.0,河北,1996.0,研究生
骆惠宁,山西,http://ldzl.people.com.cn/dfzlk/front/personPage4968.htm,男,汉族,1954.0,64.0,1970.0,浙江,1982.0,博士
楼阳生,山西,http://ldzl.people.com.cn/dfzlk/front/personPage5458.htm,男,汉族,1959.0,59.0,1976.0,浙江,1981.0,研究生
黄晓薇,山西,http://ldzl.people.com.cn/dfzlk/front/personPage6332.htm,女,汉族,1961.0,57.0,1983.0,辽宁,1983.0,本科
任建华,山西,http://ldzl.people.com.cn/dfzlk/front/personPage16164.htm,男,汉族,1957.0,61.0,1982.0,河南,1984.0,本科
罗清宇,山西,http://ldzl.people.com.cn/dfzlk/front/personPage4121.htm,男,汉族,1963.0,55.0,1986.0,山西,1986.0,研究生
吴汉圣,山西,http://ldzl.people.com.cn/dfzlk/front/personPage5660.htm,男,汉族,1963.0,55.0,1985.0,山东,1984.0,本科
张吉福,山西,http://ldzl.people.com.cn/dfzlk/front/personPage4043.htm,男,汉族,1964.0,54.0,1989.0,天津,1985.0,博士
徐广国,山西,http://ldzl.people.com.cn/dfzlk/front/personPage4825.htm,男,汉族,1964.0,54.0,1984.0,黑龙,1984.0,博士
廉毅敏,山西,http://ldzl.people.com.cn/dfzlk/front/personPage16223.htm,男,汉族,1964.0,54.0,1989.0,山西,1984.0,博士
商黎光,山西,http://ldzl.people.com.cn/dfzlk/front/personPage4086.htm,男,汉族,1963.0,55.0,1981.0,河北,1984.0,研究生
胡玉亭,山西,http://ldzl.people.com.cn/dfzlk/front/personPage4116.htm,男,汉族,1964.0,54.0,1986.0,山西,1986.0,研究生
林武,山西,http://ldzl.people.com.cn/dfzlk/front/personPage15050.htm,男,汉族,1962.0,56.0,1982.0,福建,1987.0,博士
王一新,山西,http://ldzl.people.com.cn/dfzlk/front/personPage5469.htm,男,汉族,1965.0,53.0,1987.0,湖北,1993.0,本科
张复明,山西,http://ldzl.people.com.cn/dfzlk/front/personPage5470.htm,男,汉族,1963.0,55.0,1984.0,山西,,博士
贺天才,山西,http://ldzl.people.com.cn/dfzlk/front/personPage16819.htm,男,汉族,1963.0,55.0,1983.0,山西,1998.0,博士
刘新云,山西,http://ldzl.people.com.cn/dfzlk/front/personPage18680.htm,男,汉族,1962.0,56.0,1981.0,山东,1984.0,研究生
曲孝丽,山西,http://ldzl.people.com.cn/dfzlk/front/personPage16281.htm,女,汉族,1963.0,55.0,1985.0,山东,1990.0,博士
陈永奇,山西,http://ldzl.people.com.cn/dfzlk/front/personPage4108.htm,男,汉族,1967.0,51.0,1992.0,山西,1985.0,博士
关建勋,山西,http://ldzl.people.com.cn/dfzlk/front/personPage18730.htm,男,汉族,1962.0,56.0,1984.0,山西,1990.0,研究生
孙大军,山西,http://ldzl.people.com.cn/dfzlk/front/personPage18731.htm,男,,1968.0,50.0,1990.0,辽宁,1986.0,本科
张志川,山西,http://ldzl.people.com.cn/dfzlk/front/personPage18613.htm,男,,1964.0,54.0,1982.0,河南,1997.0,博士
陈振亮,山西,http://ldzl.people.com.cn/dfzlk/front/personPage15626.htm,男,汉族,1963.0,55.0,1983.0,山西,1984.0,博士
王成,山西,http://ldzl.people.com.cn/dfzlk/front/personPage15839.htm,男,汉族,1969.0,49.0,1987.0,山西,1990.0,博士
刘志宏,山西,http://ldzl.people.com.cn/dfzlk/front/personPage15872.htm,男,汉族,1960.0,58.0,1976.0,山西,1978.0,研究生
李俊明,山西,http://ldzl.people.com.cn/dfzlk/front/personPage4106.htm,男,汉族,1960.0,58.0,1977.0,山西,1980.0,研究生
岳普煜,山西,http://ldzl.people.com.cn/dfzlk/front/personPage4122.htm,男,汉族,1959.0,59.0,1982.0,山西,1985.0,博士
李正印,山西,http://ldzl.people.com.cn/dfzlk/front/personPage16226.htm,男,汉族,1962.0,56.0,1982.0,山西,1984.0,研究生
耿彦波,山西,http://ldzl.people.com.cn/dfzlk/front/personPage4104.htm,男,汉族,1958.0,60.0,1976.0,山西,1981.0,研究生
武宏文,山西,http://ldzl.people.com.cn/dfzlk/front/personPage16187.htm,男,汉族,1962.0,56.0,1979.0,山西,1990.0,大专
雷健坤,山西,http://ldzl.people.com.cn/dfzlk/front/personPage18643.htm,女,汉族,1971.0,47.0,1999.0,山西,,博士
杨勤荣,山西,http://ldzl.people.com.cn/dfzlk/front/personPage18644.htm,男,汉族,1965.0,53.0,1984.0,山西,1991.0,本科
刘锋,山西,http://ldzl.people.com.cn/dfzlk/front/personPage18190.htm,男,汉族,1963.0,55.0,1983.0,山西,,本科
高键,山西,http://ldzl.people.com.cn/dfzlk/front/personPage18641.htm,男,汉族,1969.0,49.0,1992.0,山西,1991.0,研究生
赵建平,山西,http://ldzl.people.com.cn/dfzlk/front/personPage18747.htm,男,汉族,1963.0,55.0,1983.0,山西,1988.0,研究生
朱鹏,山西,http://ldzl.people.com.cn/dfzlk/front/personPage16784.htm,男,汉族,1968.0,50.0,1989.0,湖北,1988.0,研究生
郑连生,山西,http://ldzl.people.com.cn/dfzlk/front/personPage4120.htm,男,汉族,1965.0,53.0,1985.0,山西,1985.0,本科
刘予强,山西,http://ldzl.people.com.cn/dfzlk/front/personPage15628.htm,男,汉族,1963.0,55.0,1981.0,山西,1984.0,研究生
王立伟,山西,http://ldzl.people.com.cn/dfzlk/front/personPage15387.htm,男,汉族,1963.0,55.0,1984.0,山西,1984.0,本科
李纪恒,内蒙古,http://ldzl.people.com.cn/dfzlk/front/personPage4956.htm,男,汉族,1957.0,61.0,1979.0,广西,1976.0,博士
布小林,内蒙古,http://ldzl.people.com.cn/dfzlk/front/personPage5631.htm,女,蒙古族,1958.0,60.0,1976.0,内蒙,1985.0,博士
李佳,内蒙古,http://ldzl.people.com.cn/dfzlk/front/personPage5471.htm,男,汉族,1961.0,57.0,1983.0,辽宁,1985.0,博士
张建民,内蒙古,http://ldzl.people.com.cn/dfzlk/front/personPage6671.htm,男,汉族,1964.0,54.0,1985.0,河北,1995.0,博士
王莉霞,内蒙古,http://ldzl.people.com.cn/dfzlk/front/personPage6568.htm,女,蒙古族,1964.0,54.0,1985.0,辽宁,1992.0,博士
曾一春,内蒙古,http://ldzl.people.com.cn/dfzlk/front/personPage15126.htm,男,汉族,1961.0,57.0,1983.0,四川,1983.0,本科
刘奇凡,内蒙古,http://ldzl.people.com.cn/dfzlk/front/personPage4708.htm,男,汉族,1967.0,51.0,1988.0,贵州,1994.0,研究生
张院忠,内蒙古,http://ldzl.people.com.cn/dfzlk/front/personPage4146.htm,男,汉族,1959.0,59.0,1983.0,陕西,1983.0,本科
云光中,内蒙古,http://ldzl.people.com.cn/dfzlk/front/personPage4135.htm,男,蒙古族,1960.0,58.0,1977.0,内蒙,1979.0,研究生
白玉刚,内蒙古,http://ldzl.people.com.cn/dfzlk/front/personPage4996.htm,男,蒙古族,1965.0,53.0,1988.0,内蒙,1993.0,本科
罗永纲,内蒙古,http://ldzl.people.com.cn/dfzlk/front/personPage15045.htm,男,汉族,1966.0,52.0,1986.0,山西,1986.0,研究生
李杰翔,内蒙古,http://ldzl.people.com.cn/dfzlk/front/personPage12251.htm,男,汉族,1964.0,54.0,1985.0,内蒙,1985.0,研究生
冷杰松,内蒙古,http://ldzl.people.com.cn/dfzlk/front/personPage12952.htm,,,1961.0,57.0,,山东,1982.0,unknown
艾丽华,内蒙古,http://ldzl.people.com.cn/dfzlk/front/personPage12154.htm,女,蒙古族,1964.0,54.0,1987.0,辽宁,1986.0,研究生
张韶春,内蒙古,http://ldzl.people.com.cn/dfzlk/front/personPage18676.htm,男,汉族,1963.0,55.0,1983.0,安徽,1986.0,博士
