age,dob_y,edu_dg,ethnic,gender,join_party_y,join_work_y,name,pob_p,province,url
63.0,1955.0,研究生,汉族,男,1974.0,1969.0,王勇,辽宁,central government,http://cpc.people.com.cn/n1/2018/0320/c64094-29877085-2.html
65.0,1953.0,大学,汉族,男,1981.0,1969.0,王毅,北京,central government,http://cpc.people.com.cn/n1/2018/0320/c64094-29877085-3.html
61.0,1957.0,研究生,汉族,男,1985.0,1976.0,肖捷,辽宁,central government,http://cpc.people.com.cn/n1/2018/0320/c64094-29877085-4.html
65.0,1953.0,研究生,汉族,男,1975.0,1973.0,赵克志,山东,central government,http://cpc.people.com.cn/n1/2018/0320/c64094-29877085-5.html
63.0,1955.0,研究生,汉族,男,1981.0,1973.0,何立峰,广东,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-17.html
67.0,1951.0,研究生,汉族,男,1973.0,1971.0,张庆黎,山东,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408.html
65.0,1953.0,研究生,汉族,男,1971.0,1974.0,刘奇葆,安徽,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-2.html
78.0,1940.0,大学,藏族,男,,,帕巴拉·格列朗杰,四川,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-3.html
81.0,1937.0,大学,汉族,男,,,董建华,浙江,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-4.html
66.0,1952.0,研究生,汉族,男,,1969.0,万钢,上海,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-5.html
63.0,1955.0,大学,汉族,男,,,何厚铧,广东,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-6.html
66.0,1952.0,大学,汉族,男,1975.0,1969.0,卢展工,浙江,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-7.html
61.0,1957.0,研究生,回族,男,1981.0,1976.0,王正伟,宁夏,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-8.html
64.0,1954.0,大学,壮族,男,1985.0,1972.0,马飚,广西,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-9.html
63.0,1955.0,研究生,汉族,男,,1973.0,陈晓光,吉林,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-10.html
64.0,1954.0,大学,汉族,男,,,梁振英,山东,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-11.html
66.0,1952.0,研究生,汉族,男,1973.0,1969.0,夏宝龙,天津,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-12.html
64.0,1954.0,大学,汉族,男,1976.0,1972.0,杨传堂,山东,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-13.html
64.0,1954.0,研究生,汉族,女,1981.0,1974.0,李斌,辽宁,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-14.html
63.0,1955.0,研究生,蒙古族,男,1981.0,1973.0,巴特尔,辽宁,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-15.html
59.0,1959.0,研究生,汉族,男,1985.0,1987.0,汪永清,江西,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-16.html
62.0,1956.0,大学,汉族,女,,1975.0,苏辉,台湾,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-18.html
61.0,1957.0,大学,汉族,男,,1976.0,郑建邦,湖南,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-19.html
62.0,1956.0,研究生,汉族,男,,1975.0,辜胜阻,湖北,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-20.html
66.0,1952.0,研究生,汉族,男,,1968.0,刘新成,河北,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-21.html
63.0,1955.0,研究生,汉族,男,,1975.0,何维,黑龙江,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-22.html
61.0,1957.0,研究生,汉族,男,,1975.0,邵鸿,辽宁,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-23.html
60.0,1958.0,研究生,汉族,男,,1985.0,高云龙,山东,central government,http://cpc.people.com.cn/n1/2018/0315/c64387-29868408-24.html
58.0,1960.0,研究生,汉族,男,1978.0,1976.0,周 强,湖北,central government,http://cpc.people.com.cn/n1/2018/0319/c64094-29874515.html
62.0,1956.0,研究生,汉族,男,1974.0,1973.0,张 军,山东,central government,http://cpc.people.com.cn/n1/2018/0319/c64094-29874516.html
62.0,1956.0,研究生,汉族,男,1975.0,1975.0,王东明,辽宁,central government,http://renshi.people.com.cn/n1/2018/0323/c139617-29884657.html
63.0,1955.0,博士,汉族,男,1975.0,1973.0,蔡奇,福建,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm
60.0,1958.0,研究生,汉族,男,1977.0,1975.0,李伟,江苏,北京,http://ldzl.people.com.cn/dfzlk/front/personPage5296.htm
54.0,1964.0,博士,汉族,男,1984.0,,陈吉宁,吉林,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16776.htm
56.0,1962.0,研究生,汉族,男,1984.0,1987.0,吉林,上海,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4991.htm
57.0,1961.0,研究生,汉族,男,1992.0,1983.0,张工,北京,北京,http://ldzl.people.com.cn/dfzlk/front/personPage5373.htm
55.0,1963.0,博士,汉族,男,,,阴和俊,山西,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16605.htm
53.0,1965.0,博士,汉族,男,1984.0,1988.0,张硕辅,湖南,北京,http://ldzl.people.com.cn/dfzlk/front/personPage6347.htm
55.0,1963.0,研究生,汉族,男,1985.0,1985.0,张延昆,河南,北京,http://ldzl.people.com.cn/dfzlk/front/personPage5384.htm
52.0,1966.0,博士,汉族,男,1990.0,1988.0,林克庆,湖北,北京,http://ldzl.people.com.cn/dfzlk/front/personPage5379.htm
58.0,1960.0,博士,汉族,男,1984.0,1987.0,杜飞进,浙江,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16637.htm
57.0,1961.0,本科,汉族,男,1983.0,1983.0,魏小东,福建,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4418.htm
55.0,1963.0,博士,汉族,男,1988.0,1985.0,崔述强,北京,北京,http://ldzl.people.com.cn/dfzlk/front/personPage14784.htm
55.0,1963.0,本科,汉族,女,1985.0,1985.0,齐静,安徽,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4041.htm
62.0,1956.0,研究生,汉族,男,1978.0,1973.0,姜勇,辽宁,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18645.htm
56.0,1962.0,博士,汉族,男,1982.0,1983.0,张建东,河北,北京,http://ldzl.people.com.cn/dfzlk/front/personPage8298.htm
55.0,1963.0,研究生,汉族,男,1984.0,1985.0,隋振江,辽宁,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4023.htm
58.0,1960.0,研究生,汉族,男,1987.0,1983.0,王宁,山西,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4019.htm
49.0,1969.0,博士,汉族,男,1994.0,1997.0,殷勇,湖北,北京,http://ldzl.people.com.cn/dfzlk/front/personPage13886.htm
55.0,1963.0,博士,汉族,男,1994.0,1984.0,卢彦,江苏,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16627.htm
57.0,1961.0,博士,汉族,男,1985.0,1983.0,杨斌,山东,北京,http://ldzl.people.com.cn/dfzlk/front/personPage11002.htm
56.0,1962.0,研究生,满族,女,,1986.0,王红,辽宁,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18695.htm
55.0,1963.0,研究生,汉族,男,1985.0,1990.0,张家明,安徽,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4018.htm
50.0,1968.0,博士,汉族,男,1986.0,1990.0,卢映川,安徽,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4036.htm
51.0,1967.0,博士,汉族,男,1987.0,1990.0,王灏,辽宁,北京,http://ldzl.people.com.cn/dfzlk/front/personPage15367.htm
54.0,1964.0,博士,汉族,男,1985.0,1987.0,于军,山东,北京,http://ldzl.people.com.cn/dfzlk/front/personPage12760.htm
51.0,1967.0,博士,汉族,男,1988.0,1989.0,汪先永,安徽,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4993.htm
56.0,1962.0,研究生,汉族,男,1991.0,1985.0,于长辉,辽宁,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18803.htm
55.0,1963.0,本科,汉族,男,1993.0,1985.0,张力兵,北京,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16166.htm
52.0,1966.0,研究生,汉族,男,1992.0,1983.0,陈清,吉林,北京,http://ldzl.people.com.cn/dfzlk/front/personPage15592.htm
49.0,1969.0,研究生,汉族,男,1987.0,1992.0,曾赞荣,湖南,北京,http://ldzl.people.com.cn/dfzlk/front/personPage11006.htm
46.0,1972.0,博士,汉族,男,1996.0,1996.0,高朋,辽宁,北京,http://ldzl.people.com.cn/dfzlk/front/personPage15395.htm
55.0,1963.0,研究生,汉族,男,1985.0,1985.0,侯君舒,河南,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4037.htm
55.0,1963.0,博士,汉族,男,1984.0,1984.0,周立云,湖南,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16808.htm
52.0,1966.0,博士,汉族,男,1985.0,1991.0,常卫,河南,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4042.htm
52.0,1966.0,博士,汉族,男,1987.0,1989.0,王成国,山东,北京,http://ldzl.people.com.cn/dfzlk/front/personPage15105.htm
48.0,1970.0,博士,汉族,男,,1993.0,夏林茂,江苏,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4028.htm
49.0,1969.0,博士,汉族,男,2001.0,1991.0,李志军,河南,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4047.htm
49.0,1969.0,博士,汉族,女,1991.0,1992.0,金晖,浙江,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18813.htm
48.0,1970.0,研究生,汉族,男,1990.0,1993.0,王少峰,山东,北京,http://ldzl.people.com.cn/dfzlk/front/personPage4020.htm
49.0,1969.0,博士,汉族,男,1998.0,1993.0,文献,江西,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16780.htm
50.0,1968.0,研究生,汉族,男,1988.0,1990.0,戴彬彬,江苏,北京,http://ldzl.people.com.cn/dfzlk/front/personPage17171.htm
50.0,1968.0,博士,汉族,男,,,王力军,河北,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18808.htm
44.0,1974.0,本科,汉族,男,1996.0,1996.0,陈之常,四川,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18843.htm
54.0,1964.0,研究生,汉族,男,1986.0,1983.0,付兆庚,北京,北京,http://ldzl.people.com.cn/dfzlk/front/personPage15594.htm
51.0,1967.0,研究生,汉族,女,1987.0,1989.0,郭延红,山东,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18649.htm
46.0,1972.0,博士,汉族,男,1994.0,1995.0,赵磊,河南,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18814.htm
48.0,1970.0,研究生,汉族,女,1992.0,1992.0,孙军民,北京,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18812.htm
49.0,1969.0,博士,汉族,男,1988.0,1993.0,王合生,山东,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18815.htm
51.0,1967.0,博士,汉族,男,1989.0,1990.0,王有国,湖北,北京,http://ldzl.people.com.cn/dfzlk/front/personPage18588.htm
48.0,1970.0,研究生,汉族,男,1998.0,1992.0,卢宇国,河南,北京,http://ldzl.people.com.cn/dfzlk/front/personPage17239.htm
51.0,1967.0,研究生,满族,男,1986.0,1990.0,汪明浩,辽宁,北京,http://ldzl.people.com.cn/dfzlk/front/personPage16024.htm
56.0,1962.0,博士,汉族,男,1983.0,1983.0,潘临珠,山西,北京,http://ldzl.people.com.cn/dfzlk/front/personPage15282.htm
52.0,1966.0,研究生,汉族,男,1986.0,1988.0,穆鹏,陕西,北京,http://ldzl.people.com.cn/dfzlk/front/personPage15410.htm
62.0,1956.0,本科,汉族,男,1976.0,1975.0,李鸿忠,山东,天津,http://ldzl.people.com.cn/dfzlk/front/personPage4929.htm
59.0,1959.0,博士,汉族,男,1983.0,1980.0,段春华,河北,天津,http://ldzl.people.com.cn/dfzlk/front/personPage5407.htm
54.0,1964.0,博士,汉族,男,1984.0,1985.0,张国清,河南,天津,http://ldzl.people.com.cn/dfzlk/front/personPage6391.htm
58.0,1960.0,本科,汉族,男,1981.0,1975.0,盛茂林,湖北,天津,http://ldzl.people.com.cn/dfzlk/front/personPage5462.htm
56.0,1962.0,博士,汉族,男,1985.0,1985.0,张玉卓,山东,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16595.htm
56.0,1962.0,研究生,汉族,男,1987.0,1982.0,喻云林,湖南,天津,http://ldzl.people.com.cn/dfzlk/front/personPage12738.htm
54.0,1964.0,博士,汉族,男,1992.0,1981.0,邓修明,四川,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16260.htm
54.0,1964.0,研究生,汉族,男,1986.0,1984.0,赵飞,湖北,天津,http://ldzl.people.com.cn/dfzlk/front/personPage15562.htm
57.0,1961.0,研究生,汉族,男,1982.0,1977.0,陈浙闽,浙江,天津,http://ldzl.people.com.cn/dfzlk/front/personPage12146.htm
53.0,1965.0,研究生,汉族,男,1987.0,1988.0,冀国强,河南,天津,http://ldzl.people.com.cn/dfzlk/front/personPage4075.htm
55.0,1963.0,博士,汉族,男,1984.0,1984.0,李毅,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16774.htm
57.0,1961.0,博士,回族,女,,1983.0,曹小红,吉林,天津,http://ldzl.people.com.cn/dfzlk/front/personPage5414.htm
56.0,1962.0,研究生,汉族,男,1983.0,1985.0,孙文魁,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage5424.htm
56.0,1962.0,博士,汉族,男,1983.0,1984.0,赵海山,河北,天津,http://ldzl.people.com.cn/dfzlk/front/personPage15362.htm
56.0,1962.0,研究生,汉族,男,1983.0,1980.0,李树起,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage4077.htm
52.0,1966.0,本科,汉族,男,1986.0,1988.0,康义,湖南,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18675.htm
54.0,1964.0,博士,汉族,男,1984.0,1990.0,金湘军,湖南,天津,http://ldzl.people.com.cn/dfzlk/front/personPage4564.htm
52.0,1966.0,研究生,汉族,男,1989.0,1987.0,董家禄,云南,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18696.htm
52.0,1966.0,研究生,汉族,男,1987.0,1989.0,姚来英,河北,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16279.htm
47.0,1971.0,博士,,男,1992.0,1994.0,陈绍旺,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage15405.htm
51.0,1967.0,研究生,汉族,男,1993.0,1988.0,李建成,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage15451.htm
54.0,1964.0,研究生,汉族,男,1990.0,1981.0,李学义,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16381.htm
51.0,1967.0,本科,汉族,男,1995.0,1989.0,杨兵,湖北,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18826.htm
47.0,1971.0,研究生,汉族,男,1991.0,1992.0,刘志强,河北,天津,http://ldzl.people.com.cn/dfzlk/front/personPage5018.htm
53.0,1965.0,研究生,汉族,男,1992.0,1986.0,李清,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18827.htm
55.0,1963.0,研究生,,男,1986.0,1983.0,夏新,河南,天津,http://ldzl.people.com.cn/dfzlk/front/personPage15576.htm
53.0,1965.0,研究生,汉族,女,1990.0,1982.0,李清,河北,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16282.htm
50.0,1968.0,研究生,汉族,女,1995.0,1990.0,刘惠,河北,天津,http://ldzl.people.com.cn/dfzlk/front/personPage15596.htm
53.0,1965.0,本科,汉族,男,1985.0,1987.0,冯卫华,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16392.htm
48.0,1970.0,研究生,汉族,男,1991.0,1992.0,徐大彤,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18832.htm
53.0,1965.0,博士,汉族,男,,,殷向杰,湖北,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18576.htm
54.0,1964.0,研究生,汉族,男,1991.0,1983.0,王洪海,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage12075.htm
52.0,1966.0,博士,汉族,男,2000.0,1987.0,蔺雪峰,河北,天津,http://ldzl.people.com.cn/dfzlk/front/personPage12106.htm
51.0,1967.0,研究生,汉族,男,,,于立军,辽宁,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16280.htm
47.0,1971.0,博士,蒙古族,男,1995.0,1998.0,陈春江,内蒙,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16642.htm
54.0,1964.0,研究生,汉族,女,1994.0,1982.0,田金萍,河北,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16755.htm
54.0,1964.0,博士,汉族,男,1985.0,1986.0,姜德志,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18837.htm
50.0,1968.0,研究生,汉族,男,1994.0,1991.0,孙剑楠,江西,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16647.htm
47.0,1971.0,研究生,汉族,男,1993.0,1994.0,李新,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16652.htm
47.0,1971.0,研究生,汉族,男,1994.0,1994.0,袁家健,安徽,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18585.htm
48.0,1970.0,博士,汉族,男,1993.0,1994.0,孔德昌,山东,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16329.htm
46.0,1972.0,研究生,汉族,男,1993.0,1995.0,白凤祥,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18834.htm
53.0,1965.0,研究生,汉族,男,1988.0,1986.0,贺亦农,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18830.htm
48.0,1970.0,研究生,汉族,男,1994.0,1990.0,王宝雨,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18835.htm
52.0,1966.0,博士,汉族,男,1997.0,1989.0,戴东强,山东,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16746.htm
49.0,1969.0,博士,汉族,男,1990.0,1990.0,毛劲松,辽宁,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16639.htm
56.0,1962.0,研究生,汉族,男,1986.0,1982.0,杨茂荣,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage12145.htm
51.0,1967.0,研究生,汉族,男,1989.0,1989.0,张伟,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18831.htm
55.0,1963.0,研究生,汉族,男,1985.0,1983.0,张庆恩,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage18474.htm
54.0,1964.0,研究生,汉族,男,1988.0,1983.0,廉桂峰,天津,天津,http://ldzl.people.com.cn/dfzlk/front/personPage16638.htm
60.0,1958.0,研究生,汉族,男,1980.0,1981.0,王东峰,陕西,河北,http://ldzl.people.com.cn/dfzlk/front/personPage5388.htm
57.0,1961.0,博士,汉族,男,1982.0,1982.0,许勤,江苏,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4509.htm
60.0,1958.0,研究生,汉族,男,1981.0,1977.0,叶冬松,安徽,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4928.htm
53.0,1965.0,研究生,汉族,男,1985.0,1983.0,赵一德,浙江,河北,http://ldzl.people.com.cn/dfzlk/front/personPage6027.htm
58.0,1960.0,博士,汉族,男,1983.0,1976.0,梁田庚,广东,河北,http://ldzl.people.com.cn/dfzlk/front/personPage6458.htm
57.0,1961.0,研究生,汉族,男,1985.0,1980.0,袁桐利,天津,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4079.htm
53.0,1965.0,博士,汉族,男,1986.0,1990.0,陈刚,江苏,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4700.htm
56.0,1962.0,研究生,汉族,女,1985.0,1983.0,梁惠玲,湖北,河北,http://ldzl.people.com.cn/dfzlk/front/personPage6256.htm
58.0,1960.0,研究生,汉族,男,1986.0,1982.0,焦彦龙,河北,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4097.htm
56.0,1962.0,研究生,汉族,男,1984.0,1984.0,董仚生,江西,河北,http://ldzl.people.com.cn/dfzlk/front/personPage11019.htm
57.0,1961.0,研究生,汉族,男,1984.0,1976.0,邢国辉,河北,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4093.htm
56.0,1962.0,研究生,汉族,男,1990.0,1984.0,高志立,河北,河北,http://ldzl.people.com.cn/dfzlk/front/personPage16242.htm
55.0,1963.0,本科,汉族,男,1984.0,1982.0,王浩,山东,河北,http://ldzl.people.com.cn/dfzlk/front/personPage12193.htm
53.0,1965.0,本科,汉族,男,1990.0,,韩晓东,,河北,http://ldzl.people.com.cn/dfzlk/front/personPage18621.htm
55.0,1963.0,研究生,汉族,男,1984.0,1982.0,张古江,天津,河北,http://ldzl.people.com.cn/dfzlk/front/personPage5978.htm
58.0,1960.0,博士,汉族,男,1981.0,1977.0,徐建培,江苏,河北,http://ldzl.people.com.cn/dfzlk/front/personPage16606.htm
58.0,1960.0,研究生,汉族,男,1983.0,1976.0,李谦,河北,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4101.htm
49.0,1969.0,本科,汉族,男,1994.0,1991.0,刘凯,安徽,河北,http://ldzl.people.com.cn/dfzlk/front/personPage18697.htm
55.0,1963.0,研究生,汉族,女,1987.0,1982.0,夏延军,河北,河北,http://ldzl.people.com.cn/dfzlk/front/personPage18698.htm
53.0,1965.0,研究生,汉族,男,,1987.0,时清霜,河北,河北,http://ldzl.people.com.cn/dfzlk/front/personPage18699.htm
52.0,1966.0,博士,汉族,男,1990.0,1989.0,孟祥伟,河北,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4090.htm
51.0,1967.0,研究生,汉族,男,1990.0,1986.0,高宏志,河北,河北,http://ldzl.people.com.cn/dfzlk/front/personPage4087.htm
